Battery,Camera,Processor,Design,Longevity,Compatibility,Display,degrades,battery_hrs,battery_capacity
No,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Don't Care
No,No,Yes,No,No,No,No,Disagree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Disagree,One full Day,Good
Yes,No,Yes,No,Yes,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,No,No,Yes,No,No,Agree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,Yes,Agree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Disagree,8 - 10 hrs.,Good
Yes,No,No,No,Yes,No,Yes,Disagree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,No,Disagree,<4 hrs,Okish
No,Yes,No,No,No,No,No,Disagree,One full Day,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,One full Day,Okish
Yes,No,Yes,No,No,No,No,Agree,One full Day,Good
Yes,No,Yes,Yes,Yes,No,No,Don't Care,One full Day,Good
No,No,Yes,No,No,No,No,I know,One full Day,Good
Yes,Yes,Yes,No,No,No,No,Agree,One full Day,Good
Yes,Yes,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Okish
Yes,No,Yes,Yes,No,No,No,Agree,<4 hrs,Good
Yes,Yes,No,Yes,No,No,No,Disagree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Good
Yes,No,No,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,No,Yes,Yes,Yes,No,No,Disagree,8 - 10 hrs.,Good
Yes,No,No,No,No,No,No,Agree,5 - 7 hrs,Don't Care
Yes,Yes,Yes,No,No,No,No,Agree,8 - 10 hrs.,Good
No,No,Yes,Yes,No,No,Yes,Agree,5 - 7 hrs,Don't Care
Yes,No,Yes,No,No,No,Yes,Disagree,8 - 10 hrs.,Good
Yes,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Don't Care
Yes,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Okish
Yes,Yes,No,Yes,Yes,No,No,Disagree,5 - 7 hrs,Good
No,Yes,No,Yes,No,Yes,Yes,Disagree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Don't Care,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,No,Disagree,8 - 10 hrs.,Don't Care
Yes,Yes,Yes,No,No,No,Yes,Don't Care,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Don't Care,5 - 7 hrs,Good
No,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Okish
Yes,Yes,No,No,No,No,No,Disagree,5 - 7 hrs,Okish
Yes,No,No,No,No,No,No,Agree,5 - 7 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,<4 hrs,Okish
Yes,No,Yes,Yes,Yes,No,No,Agree,5 - 7 hrs,Okish
Yes,No,No,No,No,No,No,Agree,<4 hrs,Okish
Yes,No,Yes,No,No,Yes,No,Agree,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,One Day+,Good
Yes,Yes,Yes,Yes,No,No,No,Agree,5 - 7 hrs,Okish
Yes,Yes,Yes,Yes,No,No,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Okish
Yes,Yes,No,No,No,Yes,No,Agree,8 - 10 hrs.,Don't Care
No,Yes,No,Yes,No,No,Yes,Disagree,One full Day,Good
No,No,No,Yes,No,No,No,Disagree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,Yes,No,No,Yes,No,No,Disagree,8 - 10 hrs.,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,No,No,No,No,No,No,Agree,<4 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,No,Disagree,5 - 7 hrs,Okish
Yes,No,No,No,No,No,No,Agree,8 - 10 hrs.,Good
Yes,No,No,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,One Day+,Good
Yes,No,No,No,No,No,No,Disagree,5 - 7 hrs,Don't Care
Yes,Yes,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,No,Yes,No,No,No,No,Agree,<4 hrs,Okish
Yes,Yes,No,No,No,No,Yes,Agree,5 - 7 hrs,Good
Yes,Yes,No,No,No,No,No,Agree,5 - 7 hrs,Don't Care
No,No,Yes,Yes,No,Yes,No,Agree,One full Day,Good
Yes,Yes,No,No,No,No,No,I know,One full Day,Good
Yes,No,No,No,No,No,Yes,Agree,8 - 10 hrs.,Bad
Yes,Yes,Yes,No,No,No,Yes,Don't Care,5 - 7 hrs,Good
Yes,No,Yes,Yes,No,No,No,I know,5 - 7 hrs,Good
No,No,No,Yes,No,No,No,Disagree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,Yes,No,No,No,Yes,No,Agree,5 - 7 hrs,Bad
Yes,Yes,No,No,No,No,No,Don't Care,One full Day,Good
Yes,Yes,Yes,Yes,No,No,No,Disagree,8 - 10 hrs.,Okish
No,No,Yes,No,Yes,No,No,Disagree,5 - 7 hrs,Good
No,No,Yes,No,No,No,Yes,Agree,<4 hrs,Bad
Yes,No,No,No,No,No,No,Don't Care,8 - 10 hrs.,Good
Yes,Yes,Yes,No,Yes,No,No,Don't Care,<4 hrs,Good
Yes,No,Yes,No,No,No,No,Agree,5 - 7 hrs,Bad
Yes,No,Yes,No,No,No,No,Agree,One Day+,Good
Yes,Yes,Yes,No,No,No,No,Agree,8 - 10 hrs.,Good
No,Yes,No,No,No,No,No,Agree,5 - 7 hrs,Don't Care
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,One full Day,Good
Yes,Yes,Yes,No,No,Yes,No,Disagree,8 - 10 hrs.,Good
Yes,No,No,Yes,No,No,No,Disagree,5 - 7 hrs,Good
Yes,No,Yes,No,No,No,Yes,I know,8 - 10 hrs.,Don't Care
Yes,No,Yes,No,Yes,Yes,No,Disagree,One full Day,Good
Yes,No,Yes,No,No,No,Yes,I know,5 - 7 hrs,Good
Yes,No,Yes,Yes,No,No,No,Disagree,One full Day,Good
No,No,Yes,Yes,No,No,Yes,Agree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Agree,<4 hrs,Bad
Yes,No,Yes,No,No,No,No,Agree,One full Day,Good
Yes,Yes,Yes,Yes,No,No,No,Agree,8 - 10 hrs.,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,No,Yes,No,No,No,No,Disagree,8 - 10 hrs.,Don't Care
Yes,No,Yes,No,No,Yes,No,I know,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,No,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
Yes,No,No,No,No,No,No,Agree,One full Day,Good
Yes,Yes,No,No,Yes,Yes,No,Agree,<4 hrs,Good
No,No,No,No,No,No,Yes,Don't Care,One full Day,Don't Care
Yes,No,Yes,Yes,No,No,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,Yes,No,No,No,Disagree,<4 hrs,Okish
Yes,No,Yes,No,No,No,Yes,Don't Care,One Day+,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,One Day+,Good
Yes,No,Yes,No,No,No,No,Agree,5 - 7 hrs,Don't Care
No,No,No,No,Yes,Yes,No,Disagree,5 - 7 hrs,Good
Yes,No,Yes,Yes,No,Yes,No,Agree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Don't Care,5 - 7 hrs,Good
No,Yes,Yes,Yes,No,No,No,Don't Care,<4 hrs,Okish
Yes,No,Yes,Yes,No,No,No,I know,<4 hrs,Don't Care
Yes,No,Yes,No,No,No,No,Agree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,One full Day,Good
No,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Good
Yes,No,No,No,No,No,No,Disagree,One Day+,Good
Yes,Yes,No,Yes,No,No,No,Agree,One full Day,Good
No,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,8 - 10 hrs.,Don't Care
Yes,Yes,Yes,Yes,No,No,No,Agree,8 - 10 hrs.,Bad
Yes,Yes,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
Yes,No,No,No,No,No,No,Agree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,No,Don't Care,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,No,Disagree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Don't Care
No,No,Yes,No,No,No,No,Don't Care,One full Day,Okish
No,No,Yes,No,No,Yes,No,I know,One full Day,Good
Yes,No,Yes,Yes,No,No,No,Disagree,<4 hrs,Don't Care
Yes,Yes,Yes,Yes,No,No,No,Disagree,8 - 10 hrs.,Okish
No,No,No,No,No,No,Yes,Agree,One full Day,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Don't Care
Yes,No,No,No,No,No,No,Agree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Agree,<4 hrs,Don't Care
Yes,No,Yes,Yes,No,No,No,Agree,5 - 7 hrs,Okish
Yes,No,Yes,No,No,Yes,No,Disagree,<4 hrs,Okish
No,Yes,No,No,No,No,No,Don't Care,One full Day,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Agree,One Day+,Good
Yes,No,Yes,No,Yes,No,No,Disagree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,No,Disagree,8 - 10 hrs.,Okish
No,Yes,No,Yes,Yes,No,Yes,Disagree,5 - 7 hrs,Bad
No,No,Yes,No,Yes,No,No,I know,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,No,Agree,One full Day,Good
Yes,No,Yes,Yes,No,No,No,Agree,5 - 7 hrs,Don't Care
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,No,Yes,No,No,Yes,No,Agree,8 - 10 hrs.,Okish
No,No,No,No,Yes,No,No,Disagree,One full Day,Don't Care
No,No,No,No,No,No,Yes,Disagree,8 - 10 hrs.,Good
Yes,No,No,No,No,No,No,Agree,One full Day,Good
Yes,No,No,No,Yes,No,No,Disagree,8 - 10 hrs.,Okish
Yes,No,No,No,No,No,No,Agree,8 - 10 hrs.,Good
No,No,No,No,No,Yes,No,Agree,5 - 7 hrs,Don't Care
No,No,No,Yes,No,No,No,Disagree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Agree,One full Day,Good
No,No,No,No,Yes,No,Yes,I know,<4 hrs,Good
No,Yes,Yes,No,No,Yes,No,Disagree,8 - 10 hrs.,Bad
Yes,No,Yes,No,Yes,No,No,Disagree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,No,I know,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,5 - 7 hrs,Okish
Yes,Yes,No,No,No,Yes,No,Agree,<4 hrs,Okish
Yes,No,No,No,No,No,No,Agree,<4 hrs,Don't Care
Yes,No,Yes,Yes,Yes,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,Yes,No,No,Don't Care,5 - 7 hrs,Good
No,No,No,No,No,Yes,No,Disagree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Agree,<4 hrs,Good
Yes,Yes,Yes,No,No,No,No,Agree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,One full Day,Good
No,No,No,No,No,Yes,No,Agree,<4 hrs,Good
Yes,No,Yes,Yes,No,No,No,Disagree,One full Day,Good
Yes,No,Yes,No,Yes,No,No,Agree,One full Day,Good
Yes,Yes,No,No,No,No,No,Disagree,5 - 7 hrs,Don't Care
Yes,Yes,No,No,No,No,No,Don't Care,One full Day,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,Yes,No,No,Yes,No,No,Agree,8 - 10 hrs.,Good
No,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Good
Yes,No,Yes,Yes,No,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Okish
Yes,Yes,No,No,No,Yes,No,I know,<4 hrs,Good
Yes,No,Yes,Yes,No,No,No,Agree,One full Day,Good
Yes,No,No,No,No,No,No,Agree,One Day+,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,Yes,No,Yes,No,No,No,Agree,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,<4 hrs,Good
Yes,No,No,No,No,No,Yes,Disagree,8 - 10 hrs.,Good
Yes,No,No,Yes,Yes,No,Yes,Don't Care,5 - 7 hrs,Good
No,No,No,Yes,No,No,No,Agree,5 - 7 hrs,Bad
Yes,No,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,One full Day,Good
Yes,No,Yes,No,Yes,No,No,Disagree,5 - 7 hrs,Bad
No,No,Yes,No,No,No,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
Yes,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
No,No,Yes,No,No,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,No,No,No,Yes,No,Disagree,5 - 7 hrs,Good
No,No,Yes,No,No,Yes,No,Disagree,8 - 10 hrs.,Don't Care
No,Yes,No,No,No,No,Yes,Disagree,One full Day,Good
No,No,Yes,Yes,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,<4 hrs,Okish
Yes,No,Yes,Yes,No,Yes,No,Disagree,8 - 10 hrs.,Good
No,No,Yes,Yes,No,No,No,I know,5 - 7 hrs,Okish
No,Yes,Yes,Yes,No,No,No,Agree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Agree,<4 hrs,Good
Yes,Yes,Yes,No,Yes,No,No,Agree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Don't Care,5 - 7 hrs,Okish
Yes,No,Yes,No,No,Yes,No,Disagree,5 - 7 hrs,Okish
Yes,No,Yes,No,Yes,No,No,Disagree,5 - 7 hrs,Okish
Yes,No,Yes,Yes,Yes,No,No,Agree,8 - 10 hrs.,Good
Yes,No,Yes,No,No,No,No,Disagree,<4 hrs,Okish
No,No,Yes,No,No,Yes,No,Agree,5 - 7 hrs,Okish
Yes,No,No,No,No,No,No,Agree,5 - 7 hrs,Don't Care
No,No,Yes,No,No,No,No,Agree,5 - 7 hrs,Don't Care
No,No,No,Yes,No,No,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,I know,<4 hrs,Good
No,No,No,Yes,No,Yes,No,Disagree,One full Day,Good
